iter	Passed	Remaining
0	132	132851
1	135	67434
2	137	45636
3	139	34716
4	142	28266
5	144	23908
6	146	20743
7	148	18393
8	150	16547
9	152	15053
10	154	13897
11	156	12914
12	158	12068
13	161	11361
14	163	10732
15	166	10217
16	168	9744
17	170	9316
18	172	8921
19	174	8563
20	176	8237
21	178	7947
22	181	7707
23	183	7469
24	185	7250
25	188	7043
26	190	6849
27	192	6678
28	195	6536
29	197	6381
30	199	6240
31	201	6101
32	203	5967
33	205	5845
34	208	5745
35	211	5664
36	213	5564
37	215	5463
38	218	5375
39	220	5294
40	222	5212
41	224	5131
42	227	5069
43	229	4996
44	232	4932
45	235	4875
46	237	4818
47	239	4753
48	241	4694
49	243	4635
50	246	4584
51	248	4527
52	250	4475
53	253	4434
54	255	4383
55	257	4335
56	259	4297
57	262	4255
58	264	4210
59	266	4170
60	269	4142
61	271	4107
62	273	4070
63	275	4031
64	277	3997
65	280	3964
66	282	3933
67	283	3890
68	286	3860
69	288	3831
70	290	3804
71	292	3774
72	295	3749
73	298	3733
74	300	3708
75	302	3683
76	304	3655
77	307	3631
78	309	3609
79	312	3594
80	315	3577
81	317	3552
82	319	3531
83	321	3509
84	323	3480
85	328	3494
86	330	3467
87	332	3447
88	334	3425
89	336	3406
90	341	3408
91	343	3394
92	346	3375
93	348	3355
94	350	3336
95	352	3320
96	356	3314
97	359	3306
98	361	3290
99	363	3274
100	366	3265
101	368	3242
102	371	3235
103	374	3223
104	376	3211
105	379	3197
106	381	3184
107	384	3174
108	387	3163
109	389	3148
110	391	3135
111	393	3122
112	395	3107
113	399	3104
114	402	3093
115	403	3075
116	405	3060
117	407	3048
118	409	3030
119	411	3016
120	413	3005
121	416	2996
122	417	2975
123	419	2962
124	421	2951
125	423	2940
126	426	2933
127	428	2922
128	431	2915
129	434	2908
130	437	2902
131	440	2894
132	443	2888
133	446	2886
134	449	2877
135	451	2867
136	453	2857
137	455	2843
138	458	2838
139	460	2830
140	462	2819
141	464	2808
142	466	2797
143	468	2786
144	471	2777
145	473	2769
146	476	2764
147	478	2753
148	480	2745
149	482	2736
150	485	2728
151	487	2719
152	490	2713
153	492	2703
154	494	2694
155	496	2684
156	498	2676
157	501	2672
158	504	2666
159	505	2656
160	508	2647
161	509	2637
162	511	2627
163	513	2618
164	516	2613
165	518	2605
166	521	2599
167	523	2590
168	525	2582
169	527	2573
170	529	2567
171	531	2559
172	534	2553
173	536	2547
174	539	2541
175	541	2537
176	544	2530
177	546	2522
178	548	2516
179	550	2507
180	551	2495
181	553	2487
182	556	2486
183	560	2483
184	563	2483
185	566	2477
186	573	2491
187	584	2525
188	588	2527
189	596	2542
190	601	2547
191	607	2555
192	610	2554
193	614	2553
194	617	2548
195	619	2543
196	623	2539
197	626	2537
198	628	2530
199	631	2524
200	634	2520
201	637	2517
202	640	2514
203	642	2508
204	645	2502
205	647	2495
206	650	2490
207	652	2483
208	654	2477
209	656	2471
210	658	2464
211	661	2457
212	663	2451
213	665	2445
214	668	2440
215	670	2433
216	672	2426
217	674	2420
218	676	2413
219	679	2408
220	681	2403
221	683	2395
