iter	Passed	Remaining
0	0	984
1	2	1100
2	3	1056
3	4	1055
4	5	996
5	5	946
6	6	905
7	7	885
8	7	857
9	8	835
10	9	843
11	10	834
12	10	822
13	11	814
14	12	803
15	12	793
16	13	787
17	14	781
18	14	774
19	15	768
20	16	780
21	17	786
22	18	796
23	19	793
24	20	788
25	20	783
26	21	777
27	22	771
28	22	768
29	23	766
30	24	761
31	25	757
32	25	753
33	26	749
34	27	745
35	27	742
36	28	739
37	29	736
38	29	734
39	30	733
40	31	743
41	32	744
42	33	750
43	34	752
44	35	753
45	36	752
46	37	752
47	37	750
48	38	747
49	39	744
50	39	742
51	40	740
52	41	737
53	41	735
54	42	734
55	43	733
56	44	732
57	44	730
58	46	735
59	47	736
60	48	744
61	49	743
62	50	747
63	51	747
64	52	749
65	52	749
66	53	747
67	54	746
68	55	747
69	56	746
70	56	745
71	57	745
72	58	743
73	59	740
74	59	738
75	61	742
76	62	743
77	63	747
78	64	747
79	64	747
80	66	749
81	66	747
82	67	741
83	67	738
84	68	736
85	69	734
86	69	732
87	70	729
88	70	726
89	71	723
90	72	720
91	72	717
92	73	715
93	73	712
94	74	709
95	75	714
96	76	714
97	78	718
98	78	716
99	79	714
100	80	712
101	80	710
102	81	707
103	81	706
104	82	703
105	83	701
106	83	698
107	84	696
108	84	693
109	85	691
110	86	689
111	86	686
112	87	684
113	87	682
114	88	680
115	89	678
116	89	675
117	92	692
118	93	694
119	94	694
120	95	693
121	96	692
122	96	691
123	97	690
124	98	689
125	99	688
126	99	686
127	100	685
128	101	683
129	101	681
130	102	679
131	103	677
132	103	675
133	105	680
134	106	682
135	108	686
136	108	685
137	109	685
138	110	683
139	111	681
140	111	680
141	112	677
142	112	675
143	113	673
144	113	671
145	114	669
146	115	668
147	115	666
148	116	664
149	117	663
150	118	664
151	119	665
152	120	666
153	121	666
154	122	665
155	122	664
156	123	664
157	124	663
158	125	663
159	126	662
160	126	660
161	127	659
162	128	657
163	128	655
164	129	654
165	129	652
166	130	651
167	131	650
168	132	649
169	132	647
170	133	646
171	134	647
172	135	647
173	136	647
174	137	646
175	137	644
176	138	643
177	139	642
178	139	641
179	140	639
180	141	638
181	141	636
182	142	634
183	142	633
184	143	631
185	144	630
186	144	630
187	145	629
188	146	627
189	146	626
190	147	625
191	148	623
192	149	624
193	150	624
194	151	624
195	152	623
196	152	622
197	153	621
198	154	619
199	154	618
200	155	617
201	155	615
202	156	614
203	157	612
204	157	611
205	158	611
206	159	610
207	160	609
208	160	608
209	161	606
210	161	605
211	162	604
212	163	602
213	164	603
214	165	603
215	166	602
216	166	601
217	167	600
218	168	599
219	168	598
220	169	597
221	170	595
222	170	594
223	171	593
224	172	593
225	172	592
226	173	591
227	174	590
228	176	593
229	177	594
230	179	596
231	180	597
232	182	602
233	183	602
234	185	602
235	186	602
236	187	602
237	188	602
238	189	602
239	193	613
240	194	613
241	195	613
242	197	614
243	198	615
244	199	615
245	200	615
246	201	615
247	202	615
248	203	615
249	205	616
250	207	618
251	208	618
252	209	618
253	210	618
254	211	618
255	212	618
256	215	621
257	215	621
258	216	619
259	217	618
260	218	617
261	218	616
262	220	616
263	221	616
264	222	615
265	222	615
266	224	615
267	225	615
268	226	615
269	227	615
270	228	614
271	229	614
272	230	613
273	231	613
274	232	612
275	233	612
276	235	613
277	235	612
278	237	612
279	237	611
280	238	610
281	239	609
282	240	608
283	240	607
284	241	605
285	242	604
286	242	603
287	243	601
288	244	600
289	244	599
290	245	597
291	245	596
292	246	594
293	247	593
294	247	592
295	248	592
296	250	592
297	251	591
298	252	590
299	252	589
300	253	588
301	254	587
302	254	585
303	255	584
304	255	583
305	256	581
306	257	580
307	257	579
308	258	577
309	258	576
310	259	575
311	260	573
312	260	572
313	261	571
314	262	569
315	262	568
316	264	569
317	265	568
318	266	568
319	267	568
320	268	566
321	268	565
322	269	564
323	270	563
324	271	563
325	272	562
326	272	561
327	273	560
328	274	559
329	274	558
330	275	557
331	276	555
332	277	555
333	277	554
334	279	554
335	280	553
336	281	553
337	281	552
338	282	551
339	283	550
340	284	549
341	284	548
342	285	547
343	286	546
344	287	545
345	287	544
346	288	543
347	289	541
348	289	540
349	290	539
350	291	539
351	292	539
352	294	539
353	295	539
354	296	538
355	297	537
356	298	537
357	299	536
358	300	535
359	300	534
360	301	533
361	302	532
362	302	531
363	303	529
364	304	529
365	305	529
366	306	528
367	307	528
368	308	528
369	309	527
370	311	527
371	311	526
372	312	525
373	313	524
374	313	522
375	314	521
376	314	520
377	315	519
378	316	518
379	316	516
380	317	515
381	318	514
382	318	513
383	319	512
384	320	511
385	320	510
386	321	509
387	322	508
388	323	508
389	324	507
390	325	506
391	326	505
392	326	505
393	327	504
394	328	503
395	329	502
396	329	501
397	330	499
398	331	499
399	331	497
400	332	496
401	333	495
402	333	494
403	334	493
404	335	492
405	335	491
406	336	490
407	337	489
408	338	489
409	339	488
410	340	487
411	341	486
412	341	485
413	342	484
414	343	483
415	343	482
416	344	481
417	345	480
418	345	479
419	346	478
420	347	477
421	347	476
422	348	475
423	348	474
424	349	472
425	350	471
426	350	470
427	351	469
428	352	469
429	353	468
430	354	468
431	355	467
432	355	466
433	356	464
434	357	463
435	357	462
436	358	462
437	359	460
438	359	459
439	360	458
440	361	457
441	361	456
442	362	455
443	362	454
444	363	453
445	364	452
446	364	451
447	365	450
448	366	449
449	367	449
450	368	448
451	369	447
452	370	447
453	370	446
454	371	445
455	372	444
456	373	443
457	374	443
458	375	442
459	375	441
460	376	440
461	377	439
462	377	438
463	378	437
464	378	435
465	379	434
466	380	433
467	381	433
468	382	432
469	383	432
470	384	431
471	384	430
472	385	429
473	386	428
474	387	427
475	387	426
476	388	425
477	388	424
478	389	423
479	390	422
480	390	421
481	391	420
482	392	419
483	392	418
484	393	417
485	393	416
486	394	415
487	395	414
488	396	414
489	397	413
490	398	413
491	399	412
492	400	411
493	400	410
494	401	409
495	402	408
496	402	407
497	403	406
498	403	405
499	404	404
500	405	403
501	405	402
502	406	401
503	407	400
504	407	399
505	408	398
506	408	397
507	409	396
508	410	395
509	411	395
510	413	395
511	414	394
512	414	393
513	415	392
514	416	392
515	416	391
516	417	390
517	418	389
518	418	388
519	419	387
520	419	386
521	420	385
522	421	384
523	421	383
524	422	382
525	422	381
526	423	380
527	424	379
528	424	378
529	425	377
530	427	377
531	428	376
532	429	376
533	429	375
534	430	374
535	431	373
536	431	372
537	432	371
538	432	370
539	433	369
540	434	368
541	434	367
542	435	366
543	436	365
544	436	364
545	437	363
546	437	362
547	438	361
548	439	360
549	440	360
550	441	359
551	442	359
552	443	358
553	444	357
554	444	356
555	445	355
556	445	354
557	446	353
558	447	352
559	447	351
560	448	350
561	449	349
562	449	349
563	450	348
564	450	347
565	451	346
566	452	345
567	452	344
568	453	343
569	454	342
570	455	342
571	456	341
572	458	341
573	458	340
574	459	339
575	460	338
576	461	337
577	461	337
578	462	336
579	463	335
580	464	334
581	464	333
582	465	332
583	466	332
584	466	331
585	467	330
586	468	329
587	468	328
588	470	327
589	471	327
590	472	326
591	472	325
592	473	325
593	474	324
594	474	323
595	475	322
596	476	321
597	476	320
598	477	319
599	477	318
600	478	317
601	479	316
602	479	315
603	480	315
604	481	314
605	481	313
606	482	312
607	483	311
608	483	310
609	484	310
610	485	309
611	486	308
612	487	307
613	488	307
614	489	306
615	489	305
616	490	304
617	491	303
618	491	302
619	492	301
620	492	300
621	493	299
622	494	299
623	495	298
624	496	297
625	497	296
626	497	296
627	498	295
628	498	294
629	500	293
630	500	292
631	502	292
632	503	292
633	504	291
634	505	290
635	505	289
636	506	288
637	507	287
638	507	286
639	508	286
640	509	285
641	510	284
642	510	283
643	511	282
644	512	281
645	512	281
646	513	280
647	514	279
648	515	279
649	517	278
650	518	277
651	518	276
652	519	276
653	520	275
654	520	274
655	521	273
656	522	272
657	523	272
658	524	271
659	524	270
660	525	269
661	526	268
662	526	267
663	527	266
664	528	266
665	528	265
666	530	264
667	530	263
668	531	263
669	532	262
670	533	261
671	533	260
672	534	259
673	535	258
674	536	258
675	536	257
676	537	256
677	538	255
678	538	254
679	539	253
680	539	252
681	540	252
682	541	251
683	541	250
684	542	249
685	543	248
686	544	247
687	545	247
688	546	246
689	547	245
690	547	245
691	548	244
692	549	243
693	550	242
694	550	241
695	551	240
696	552	239
697	552	239
698	553	238
699	553	237
700	554	236
701	555	235
702	555	234
703	556	233
704	556	233
705	557	232
706	558	231
707	559	230
708	560	229
709	561	229
710	562	228
711	563	227
712	563	226
713	564	226
714	565	225
715	566	224
716	566	223
717	567	222
718	568	222
719	568	221
720	569	220
721	570	219
722	570	218
723	571	217
724	572	216
725	572	216
726	573	215
727	574	214
728	575	214
729	576	213
730	577	212
731	577	211
732	578	210
733	579	209
734	579	208
735	580	208
736	580	207
737	581	206
738	582	205
739	582	204
740	583	203
741	583	203
742	584	202
743	585	201
744	585	200
745	586	199
746	586	198
747	588	198
748	589	197
749	590	196
750	590	195
751	591	195
752	592	194
753	592	193
754	593	192
755	594	191
756	594	190
757	595	190
758	595	189
759	596	188
760	597	187
761	597	186
762	598	185
763	599	185
764	599	184
765	600	183
766	601	182
767	601	181
768	603	181
769	604	180
770	605	179
771	606	179
772	606	178
773	607	177
774	608	176
775	608	175
776	609	174
777	610	174
778	610	173
779	611	172
780	612	171
781	612	170
782	613	169
783	613	169
784	614	168
785	615	167
786	616	166
787	617	166
788	618	165
789	619	164
790	620	163
791	621	163
792	622	162
793	623	161
794	624	160
795	624	160
796	625	159
797	626	158
798	626	157
799	627	156
800	628	156
801	628	155
802	629	154
803	630	153
804	631	152
805	632	152
806	633	151
807	634	150
808	635	149
809	636	149
810	636	148
811	637	147
812	638	146
813	639	146
814	640	145
815	640	144
816	641	143
817	642	142
818	642	142
819	643	141
820	644	140
821	646	140
822	647	139
823	649	138
824	650	137
825	651	137
826	652	136
827	653	135
828	653	134
829	654	134
830	655	133
831	656	132
832	657	131
833	658	130
834	658	130
835	659	129
836	659	128
837	661	127
838	662	127
839	663	126
840	664	125
841	664	124
842	665	123
843	665	123
844	666	122
845	667	121
846	667	120
847	668	119
848	669	118
849	670	118
850	670	117
851	671	116
852	672	115
853	672	115
854	673	114
855	674	113
856	674	112
857	675	111
858	677	111
859	678	110
860	678	109
861	679	108
862	680	108
863	680	107
864	681	106
865	682	105
866	682	104
867	684	104
868	685	103
869	685	102
870	686	101
871	687	100
872	687	100
873	688	99
874	689	98
875	689	97
876	690	96
877	691	96
878	693	95
879	693	94
880	694	93
881	695	92
882	695	92
883	696	91
884	697	90
885	698	89
886	698	89
887	699	88
888	700	87
889	700	86
890	701	85
891	702	85
892	702	84
893	703	83
894	704	82
895	704	81
896	705	81
897	706	80
898	708	79
899	708	78
900	709	77
901	710	77
902	710	76
903	711	75
904	712	74
905	712	73
906	713	73
907	714	72
908	714	71
909	715	70
910	715	69
911	716	69
912	717	68
913	717	67
914	718	66
915	719	65
916	720	65
917	721	64
918	722	63
919	722	62
920	723	62
921	724	61
